Name,Group,Description,Power,Amount,Manufacturer,Buying Price,Selling Price,Stock quantity,Requires prescription,Active
Napa,Paracetamol,Analgesic and antipyretic for pain and fever relief.,500mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,10,12,1043, [], [✅]
Napa Extend,Paracetamol,Extended release analgesic for long-lasting pain relief.,665mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,16,20,607, [], [✅]
Napa Rapid,Paracetamol,Fast acting paracetamol for rapid pain relief.,500mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,13,15,593, [], [✅]
Ace,Paracetamol,Analgesic and antipyretic medication.,500mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,10,12,727, [], [✅]
Ace Plus,Paracetamol + Caffeine,Combination analgesic for severe headache and fever.,500mg/65mg,1 strip x 10 tablets,Renata Limited,20,25,949, [], [✅]
Fast,Paracetamol,Fever and pain reducer.,500mg,1 strip x 10 tablets,Aci Limited,10,12,1026, [], [✅]
Seclo,Omeprazole,Proton pump inhibitor for acidity and gastric ulcers.,20mg,1 strip x 10 capsules,Eskayef Pharmaceuticals Ltd.,40,50,933, [], [✅]
Seclo,Omeprazole,Proton pump inhibitor for severe GERD.,40mg,1 strip x 10 capsules,Aristopharma Ltd.,60,70,1184, [], [✅]
Losectil,Omeprazole,Anti-ulcerant for gastric hyperacidity.,20mg,1 strip x 10 capsules,Drug International Ltd.,42,50,803, [], [✅]
Sergel,Esomeprazole,Advanced proton pump inhibitor for acid reflux relief.,20mg,1 strip x 10 capsules,Radiant Pharmaceuticals Ltd.,58,70,1417, [], [✅]
Sergel,Esomeprazole,High dose anti-ulcerant for erosive esophagitis.,40mg,1 strip x 10 capsules,Popular Pharmaceuticals Ltd.,75,90,389, [], [✅]
Maxpro,Esomeprazole,Acid suppressant for gastric relief.,20mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,58,70,304, [], [✅]
Maxpro,Esomeprazole,Gastric acid reducer.,40mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,76,90,645, [], [✅]
